,r,epsilon,SSR
0,6.333369098946115e-05,0.07877456061355631,7831878.834493079
1,0.00041836217207962787,0.06170644610847617,6657407.8878937485
2,0.021614906945375274,0.0628523145600652,inf
3,0.0002593538322790527,0.021745021383172206,7088038.192785744
4,0.017665118975884055,0.08941655738717845,inf
